,DateTime,REGION_ID,SPEED
107831,2015-01-05 21:50:00,27,19.77
107832,2015-01-05 21:50:00,28,0.0
107833,2015-01-05 21:50:00,29,19.77
107834,2015-01-05 21:40:00,1,17.05
107835,2015-01-05 21:40:00,2,20.86
107836,2015-01-05 21:40:00,3,18.41
107837,2015-01-05 21:40:00,4,17.73
107838,2015-01-05 21:40:00,5,19.77
107839,2015-01-05 21:40:00,6,17.73
107840,2015-01-05 21:40:00,7,17.73
107841,2015-01-05 21:40:00,8,17.73
107842,2015-01-05 21:40:00,9,19.77
107843,2015-01-05 21:40:00,10,17.05
107844,2015-01-05 21:40:00,11,18.41
107845,2015-01-05 21:40:00,12,15.0
107846,2015-01-05 21:40:00,13,14.32
107847,2015-01-05 21:40:00,14,19.77
107848,2015-01-05 21:40:00,15,19.09
107849,2015-01-05 21:40:00,16,23.86
107850,2015-01-05 21:40:00,17,21.14
107851,2015-01-05 21:40:00,18,19.77
107852,2015-01-05 21:40:00,19,19.77
107853,2015-01-05 21:40:00,20,20.45
107854,2015-01-05 21:40:00,21,21.14
107855,2015-01-05 21:40:00,22,21.82
107856,2015-01-05 21:40:00,23,16.36
107857,2015-01-05 21:40:00,24,19.77
107858,2015-01-05 21:40:00,25,22.5
107859,2015-01-05 21:40:00,26,21.14
107860,2015-01-05 21:40:00,27,19.09
107861,2015-01-05 21:40:00,28,0.0
107862,2015-01-05 21:40:00,29,20.45
107863,2015-01-05 21:30:00,1,17.73
107864,2015-01-05 21:30:00,2,20.45
107865,2015-01-05 21:30:00,3,17.73
107866,2015-01-05 21:30:00,4,18.41
107867,2015-01-05 21:30:00,5,20.45
107868,2015-01-05 21:30:00,6,18.41
107869,2015-01-05 21:30:00,7,17.05
107870,2015-01-05 21:30:00,8,21.82
107871,2015-01-05 21:30:00,9,17.05
107872,2015-01-05 21:30:00,10,17.73
107873,2015-01-05 21:30:00,11,19.09
107874,2015-01-05 21:30:00,12,15.68
107875,2015-01-05 21:30:00,13,12.95
107876,2015-01-05 21:30:00,14,19.77
107877,2015-01-05 21:30:00,15,19.77
107878,2015-01-05 21:30:00,16,20.73
107879,2015-01-05 21:30:00,17,19.7
107880,2015-01-05 21:30:00,18,19.77
107881,2015-01-05 21:30:00,19,20.45
107882,2015-01-05 21:30:00,20,20.45
107883,2015-01-05 21:30:00,21,19.09
107884,2015-01-05 21:30:00,22,20.45
107885,2015-01-05 21:30:00,23,17.05
107886,2015-01-05 21:30:00,24,19.77
107887,2015-01-05 21:30:00,25,21.82
107888,2015-01-05 21:30:00,26,20.45
107889,2015-01-05 21:30:00,27,19.77
107890,2015-01-05 21:30:00,28,0.0
107891,2015-01-05 21:30:00,29,23.52
107892,2015-01-05 21:20:00,1,16.16
107893,2015-01-05 21:20:00,2,21.14
107894,2015-01-05 21:20:00,3,17.73
107895,2015-01-05 21:20:00,4,16.36
107896,2015-01-05 21:20:00,5,19.77
107897,2015-01-05 21:20:00,6,17.73
107898,2015-01-05 21:20:00,7,17.05
107899,2015-01-05 21:20:00,8,21.14
107900,2015-01-05 21:20:00,9,19.77
107901,2015-01-05 21:20:00,10,17.73
107902,2015-01-05 21:20:00,11,18.41
107903,2015-01-05 21:20:00,12,16.91
107904,2015-01-05 21:20:00,13,12.95
107905,2015-01-05 21:20:00,14,19.77
107906,2015-01-05 21:20:00,15,20.45
107907,2015-01-05 21:20:00,16,28.43
107908,2015-01-05 21:20:00,17,21.82
107909,2015-01-05 21:20:00,18,19.09
107910,2015-01-05 21:20:00,19,19.77
107911,2015-01-05 21:20:00,20,19.77
107912,2015-01-05 21:20:00,21,23.18
107913,2015-01-05 21:20:00,22,21.14
107914,2015-01-05 21:20:00,23,17.05
107915,2015-01-05 21:20:00,24,20.45
107916,2015-01-05 21:20:00,25,21.82
107917,2015-01-05 21:20:00,26,20.45
107918,2015-01-05 21:20:00,27,20.45
107919,2015-01-05 21:20:00,28,0.0
